순위,곡명,가수,공감수,공감수차
1위,넘쳐흘러,엠씨더맥스,74168,65595
2위,벌써 12시,청하,68087,59514
3위,띵 (Prod. By 기리보이),"Jvcki Wai, 영비 (Young B), Osshun Gum, 한요한",40590,32017
4위,180도,벤,116735,108162
5위,신용재,하은 (라코스테남),79028,70455
6위,SOLO,제니 (JENNIE),158236,149663
7위,MILLIONS,WINNER,98750,90177
8위,아낙네,MINO (송민호),140135,131562
9위,Love Shot,EXO,119761,111188
10위,너를 만나,폴킴,158089,149516
11위,YES or YES,TWICE (트와이스),114798,106225
12위,Tempo,EXO,167361,158788
13위,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,233166,224593
14위,내 생에 아름다운,케이윌,89343,80770
15위,너도 그냥 날 놓아주면 돼,윤건,37312,28739
16위,아름답고도 아프구나,비투비,120087,111514
17위,해야 (Sunrise),여자친구 (GFRIEND),22290,13717
18위,IDOL,방탄소년단,213114,204541
19위,가을 타나 봐,바이브,112166,103593
20위,첫눈에,헤이즈 (Heize),49386,40813
21위,흔한 이별,허각,36492,27919
22위,삐삐,아이유,203605,195032
23위,%%(응응),Apink (에이핑크),22924,14351
24위,고백,양다일,97528,88955
25위,이별하러 가는 길,임한별,70168,61595
26위,"thank u, next",Ariana Grande,81230,72657
27위,Way Back Home,숀 (SHAUN),249295,240722
28위,봄바람,Wanna One (워너원),124997,116424
29위,열애중,벤,148110,139537
30위,하루도 그대를 사랑하지 않은 적이 없었다,임창정,135917,127344
31위,사계 (하루살이),엠씨더맥스,20044,11471
32위,FAKE LOVE,방탄소년단,268651,260078
33위,트라우마 (Trauma),EXO,66562,57989
34위,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, Kid Milli, 루피(Loopy)",120095,111522
35위,너 없인 안 된다,비투비,150058,141485
36위,Wait,EXO,67388,58815
37위,봄날,방탄소년단,377335,368762
38위,Gravity,EXO,95729,87156
39위,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),78892,70319
40위,그리워하다,비투비,218766,210193
41위,닿은 순간 (Ooh La La La),EXO,93118,84545
42위,지나오다,닐로 (Nilo),191977,183404
43위,24/7,EXO,91745,83172
44위,알았다면,장덕철,20409,11836
45위,I`m Fine,방탄소년단,157056,148483
46위,습관 (Bad Habits),숀 (SHAUN),17086,8513
47위,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,202765,194192
48위,DNA,방탄소년단,334724,326151
49위,Sign,EXO,89992,81419
50위,여기 있을게 (Smile On My Face),EXO,87003,78430
51위,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,20358,11785
52위,너는 어땠을까,노을,37079,28506
53위,사이렌 (Siren),선미,109963,101390
54위,flex (Prod. By 기리보이),"기리보이, Kid Milli, NO:EL, 스윙스",106559,97986
55위,We all lie,하진,34868,26295
56위,Damage,EXO,83557,74984
57위,가끔 (With You),EXO,84755,76182
58위,후폭풍 (Bad Dream),EXO,83485,74912
59위,행복,오반 (OVAN),42686,34113
60위,미안해,양다일,141989,133416
61위,Universe,EXO,185699,177126
62위,Dance The Night Away,TWICE (트와이스),138541,129968
63위,시간이 들겠지 (Feat. Colde),로꼬,96394,87821
64위,오아시스 (Oasis),EXO,86547,77974
65위,밤편지,아이유,303734,295161
66위,이별길 (GOODBYE ROAD),iKON,84230,75657
67위,우리 그만하자,로이킴,121540,112967
68위,가을 안부,먼데이 키즈 (Monday Kiz),126030,117457
69위,헤어지는 중,펀치 (Punch),97965,89392
70위,Euphoria,방탄소년단,150693,142120
71위,비,폴킴,182981,174408
72위,Answer : Love Myself,방탄소년단,130500,121927
73위,Bohemian Rhapsody (2011 Remaster),Queen,88159,79586
74위,에너제틱 (Energetic),Wanna One (워너원),286592,278019
75위,Wind flower,마마무(Mamamoo),48763,40190
76위,그때 헤어지면 돼,로이킴,191439,182866
77위,동화 (feat. 아이유),김동률,54915,46342
78위,BOOMERANG (부메랑),Wanna One (워너원),144034,135461
79위,Beautiful,Wanna One (워너원),235105,226532
80위,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,191426,182853
81위,켜줘 (Light),Wanna One (워너원),133341,124768
82위,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,74229,65656
83위,사랑을 했다 (LOVE SCENARIO),iKON,278901,270328
84위,19금IndiGO,"저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)",89356,80783
85위,Anpanman,방탄소년단,148942,140369
86위,꿈처럼 내린,다비치,37686,29113
87위,Epiphany,방탄소년단,119467,110894
88위,불꽃놀이 (Flowerbomb),Wanna One (워너원),72299,63726
89위,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),8573,0
90위,술래,Wanna One (워너원),69447,60874
91위,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,81317,72744
92위,그때가 좋았어,케이시 (Kassy),14272,5699
93위,Trivia 轉 : Seesaw,방탄소년단,113936,105363
94위,집,Wanna One (워너원),71777,63204
95위,그 남자를 떠나,god,13534,4961
96위,YA,이민혁 (HUTA),14342,5769
97위,묻고싶다 (One Love),Wanna One (워너원),66890,58317
98위,I`M OK,iKON,23454,14881
99위,RBB (Really Bad Boy),Red Velvet (레드벨벳),55113,46540
100위,사랑은 다 이러니,홍진영,11283,2710
총계,,,11321008,10463708
