랭킹,제목,가수,좋아요,좋아요차이
1,초록빛,폴킴,17208,12037
2,넘쳐흘러,엠씨더맥스,77141,71970
3,벌써 12시,청하,71469,66298
4,띵 (Prod. By 기리보이),"Jvcki Wai,영비 (Young B),Osshun Gum,한요한",45343,40172
5,180도,벤,117881,112710
6,신용재,하은 (라코스테남),80348,75177
7,SOLO,제니 (JENNIE),159114,153943
8,MILLIONS,WINNER,100125,94954
9,아낙네,MINO (송민호),140852,135681
10,Love Shot,EXO,120491,115320
11,너를 만나,폴킴,159090,153919
12,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,234038,228867
13,YES or YES,TWICE (트와이스),115309,110138
14,너도 그냥 날 놓아주면 돼,윤건,39491,34320
15,Tempo,EXO,167599,162428
16,내 생에 아름다운,케이윌,90202,85031
17,해야 (Sunrise),여자친구 (GFRIEND),26072,20901
18,아름답고도 아프구나,비투비,120699,115528
19,IDOL,방탄소년단,213787,208616
20,흔한 이별,허각,37084,31913
21,%%(응응),Apink (에이핑크),24222,19051
22,첫눈에,헤이즈 (Heize),49977,44806
23,가을 타나 봐,바이브,112487,107316
24,삐삐,아이유,203887,198716
25,이별하러 가는 길,임한별,70712,65541
26,고백,양다일,97981,92810
27,"thank u, next",Ariana Grande,82142,76971
28,Way Back Home,숀 (SHAUN),249622,244451
29,봄바람,Wanna One (워너원),125278,120107
30,하루도 그대를 사랑하지 않은 적이 없었다,임창정,136100,130929
31,열애중,벤,148480,143309
32,FAKE LOVE,방탄소년단,268900,263729
33,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1,Kid Milli,루피(Loopy)",120411,115240
34,너 없인 안 된다,비투비,150328,145157
35,사계 (하루살이),엠씨더맥스,20874,15703
36,봄날,방탄소년단,377733,372562
37,트라우마 (Trauma),EXO,66766,61595
38,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),79260,74089
39,그리워하다,비투비,218987,213816
40,Wait,EXO,67611,62440
41,지나오다,닐로 (Nilo),192186,187015
42,I`m Fine,방탄소년단,157405,152234
43,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,202913,197742
44,너는 어땠을까,노을,37603,32432
45,Gravity,EXO,95809,90638
46,알았다면,장덕철,20928,15757
47,DNA,방탄소년단,334925,329754
48,습관 (Bad Habits),숀 (SHAUN),17785,12614
49,닿은 순간 (Ooh La La La),EXO,93189,88018
50,We all lie,하진,37597,32426
51,24/7,EXO,91829,86658
52,사이렌 (Siren),선미,110122,104951
53,Sign,EXO,90032,84861
54,Euphoria,방탄소년단,151063,145892
55,여기 있을게 (Smile On My Face),EXO,87049,81878
56,에너제틱 (Energetic),Wanna One (워너원),286669,281498
57,오아시스 (Oasis),EXO,86573,81402
58,Bohemian Rhapsody (2011 Remaster),Queen,88604,83433
59,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,22267,17096
60,Universe,EXO,185760,180589
61,후폭풍 (Bad Dream),EXO,83513,78342
62,Damage,EXO,83596,78425
63,가끔 (With You),EXO,84786,79615
64,헤어지는 중,펀치 (Punch),98238,93067
65,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,191678,186507
66,Dance The Night Away,TWICE (트와이스),138706,133535
67,밤편지,아이유,304077,298906
68,미안해,양다일,142304,137133
69,Answer : Love Myself,방탄소년단,130950,125779
70,우리 그만하자,로이킴,121755,116584
71,비,폴킴,183407,178236
72,이별길 (GOODBYE ROAD),iKON,84387,79216
73,Beautiful,Wanna One (워너원),235166,229995
74,시간이 들겠지 (Feat. Colde),로꼬,96603,91432
75,행복,오반,43497,38326
76,그때가 좋았어,케이시 (Kassy),16081,10910
77,Epiphany,방탄소년단,119784,114613
78,IndiGO,"저스디스 (JUSTHIS),Kid Milli,NO:EL,영비 (Young B)",89672,84501
79,사랑을 했다 (LOVE SCENARIO),iKON,279091,273920
80,Wind flower,마마무(Mamamoo),49136,43965
81,BOOMERANG (부메랑),Wanna One (워너원),144119,138948
82,가을 안부,먼데이 키즈 (Monday Kiz),126209,121038
83,flex (Prod. By 기리보이),"기리보이,Kid Milli,NO:EL,스윙스",107019,101848
84,눈,폴킴,5171,0
85,동화 (feat. 아이유),김동률,55056,49885
86,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),9078,3907
87,그 남자를 떠나,god,14231,9060
88,켜줘 (Light),Wanna One (워너원),133395,128224
89,Anpanman,방탄소년단,149132,143961
90,이 마음,펀치 (Punch),5513,342
91,그때 헤어지면 돼,로이킴,191651,186480
92,꿈처럼 내린,다비치,37882,32711
93,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,74650,69479
94,YA,이민혁 (HUTA),16605,11434
95,불꽃놀이 (Flowerbomb),Wanna One (워너원),72443,67272
96,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,81450,76279
97,술래,Wanna One (워너원),69586,64415
98,Trivia 轉 : Seesaw,방탄소년단,114219,109048
99,집,Wanna One (워너원),71869,66698
100,I`M OK,iKON,23857,18686
계,,,11274971,10757871
